"","X","Y"
"1","ENSG00000269981",""
"2","ENSG00000279457","WASH9P"
"3","ENSG00000225630","MTND2P28"
"4","ENSG00000237973","MTCO1P12"
"5","ENSG00000229344","MTCO2P12"
"6","ENSG00000248527","MTATP6P1"
"7","ENSG00000198744","MTCO3P12"
"8","ENSG00000228327",""
"9","ENSG00000237491","LINC01409"
"10","ENSG00000228794","LINC01128"
"11","ENSG00000225880","LINC00115"
"12","ENSG00000188976","NOC2L"
"13","ENSG00000187961","KLHL17"
"14","ENSG00000187583","PLEKHN1"
"15","ENSG00000187642","PERM1"
"16","ENSG00000272512",""
"17","ENSG00000188290","HES4"
"18","ENSG00000187608","ISG15"
"19","ENSG00000188157","AGRN"
"20","ENSG00000217801",""
"21","ENSG00000273443",""
"22","ENSG00000131591","C1orf159"
"23","ENSG00000078808","SDF4"
"24","ENSG00000176022","B3GALT6"
"25","ENSG00000160087","UBE2J2"
"26","ENSG00000230415","LINC01786"
"27","ENSG00000162572","SCNN1D"
"28","ENSG00000131584","ACAP3"
"29","ENSG00000169972","PUSL1"
"30","ENSG00000127054","INTS11"
"31","ENSG00000240731",""
"32","ENSG00000224051","CPTP"
"33","ENSG00000169962","TAS1R3"
"34","ENSG00000107404","DVL1"
"35","ENSG00000162576","MXRA8"
"36","ENSG00000175756","AURKAIP1"
"37","ENSG00000221978","CCNL2"
"38","ENSG00000224870","MRPL20-AS1"
"39","ENSG00000242485","MRPL20"
"40","ENSG00000272455",""
"41","ENSG00000235098","ANKRD65"
"42","ENSG00000179403","VWA1"
"43","ENSG00000215915","ATAD3C"
"44","ENSG00000160072","ATAD3B"
"45","ENSG00000197785","ATAD3A"
"46","ENSG00000205090","TMEM240"
"47","ENSG00000160075","SSU72"
"48","ENSG00000228594","FNDC10"
"49","ENSG00000272106",""
"50","ENSG00000197530","MIB2"
"51","ENSG00000248333","CDK11B"
"52","ENSG00000189339","SLC35E2B"
"53","ENSG00000269737",""
"54","ENSG00000008128","CDK11A"
"55","ENSG00000268575",""
"56","ENSG00000227775",""
"57","ENSG00000215790","SLC35E2A"
"58","ENSG00000008130","NADK"
"59","ENSG00000078369","GNB1"
"60","ENSG00000178821","TMEM52"
"61","ENSG00000067606","PRKCZ"
"62","ENSG00000182873","PRKCZ-AS1"
"63","ENSG00000162585","FAAP20"
"64","ENSG00000157933","SKI"
"65","ENSG00000116151","MORN1"
"66","ENSG00000269896",""
"67","ENSG00000157916","RER1"
"68","ENSG00000157911","PEX10"
"69","ENSG00000157881","PANK4"
"70","ENSG00000157873","TNFRSF14"
"71","ENSG00000157870","PRXL2B"
"72","ENSG00000142611","PRDM16"
"73","ENSG00000130762","ARHGEF16"
"74","ENSG00000162591","MEGF6"
"75","ENSG00000158109","TPRG1L"
"76","ENSG00000116213","WRAP73"
"77","ENSG00000078900","TP73"
"78","ENSG00000227372","TP73-AS1"
"79","ENSG00000130764","LRRC47"
"80","ENSG00000272153",""
"81","ENSG00000116198","CEP104"
"82","ENSG00000169598","DFFB"
"83","ENSG00000198912","C1orf174"
"84","ENSG00000236423","LINC01134"
"85","ENSG00000131697","NPHP4"
"86","ENSG00000069424","KCNAB2"
"87","ENSG00000116254","CHD5"
"88","ENSG00000116251","RPL22"
"89","ENSG00000158286","RNF207"
"90","ENSG00000116237","ICMT"
"91","ENSG00000225077","LINC00337"
"92","ENSG00000158292","GPR153"
"93","ENSG00000097021","ACOT7"
"94","ENSG00000069812","HES2"
"95","ENSG00000187017","ESPN"
"96","ENSG00000215788","TNFRSF25"
"97","ENSG00000171680","PLEKHG5"
"98","ENSG00000162408","NOL9"
"99","ENSG00000204859","ZBTB48"
"100","ENSG00000162413","KLHL21"
"101","ENSG00000116273","PHF13"
"102","ENSG00000041988","THAP3"
