X,Y,Dim2,contrib,correlation,type,REACTOME
PP_034919,(3-Carboxypropyl)trimethylammonium,-0.107696758,0.003848676,-0.393240935,metabolome,NA
PP_039769,(S)-Piperidine-2-carboxylic acid,-0.020252147,0.000136097,-0.046062198,metabolome,30913
PP_035257,1-Methyl-4-Imidazoleacetic acid,-0.356666918,0.042211597,-0.408235007,metabolome,1606
PP_035327,1-Methylnicotinamide,-0.261024018,0.022608256,-0.589793899,metabolome,16797
GC_047,"1,6-Anhydro-beta-D-glucose",-0.278258071,0.025692222,-0.546710445,metabolome,30997
PN_011058,"2-[(2,4-dihydroxy-3,5,6-trimethylbenzoyl)amino]acetic acid",-0.272955271,0.024722313,-0.510266441,metabolome,NA
LP_005086,2-Amino-3-methyl-1-butanol,0.113219428,0.004253516,0.110203763,metabolome,NA
GC_046,2-aminoadipate,-0.119781861,0.004760891,-0.230376932,metabolome,37023
PP_048529,2-Deoxyadenosine 5-phosphate,-0.195838678,0.012726327,-0.205859965,metabolome,17713
PP_030481,3-(1H-Indol-3-yl)-2-(trimethylammonio)propanoate,-0.198451349,0.013068154,-0.513501746,metabolome,5832
GC_025,4-Aminobutanoic acid,0.211983325,0.014911095,0.388511925,metabolome,16865
PP_036985,4-Pregnene-11-beta-17-alpha-diol-3-20-dione,0.047171856,0.000738367,0.1707931,metabolome,NA
PP_036961,5-(2-Hydroxyethyl)-4-methylthiazole,-0.404597216,0.054319018,-0.502610892,metabolome,17957
PP_037201,5-Aminopentanoic acid,-0.129928197,0.005601611,-0.453409226,metabolome,15887
PN_021490,5-Hydroxyindole-3-acetic acid,-0.333856534,0.036985023,-0.335741246,metabolome,27823
LP_005559,5prime-Deoxy-5prime-(methylthio)adenosine,0.044286857,0.000650812,0.23313782,metabolome,NA
LP_006472,6-Aminohexanoic acid,0.3298371,0.036099828,0.381499504,metabolome,16586
PP_032065,"6-Hydroxy-4,4,7a-trimethyl-5,6,7,7a-tetrahydro-1-benzofuran-2(4H)-one",-0.075838495,0.001908471,-0.070657501,metabolome,NA
PN_021602,6-Phosphogluconic acid,0.14761981,0.007230951,0.201605422,metabolome,48928
GC_074,Adenine,0.024499179,0.000199163,0.084620085,metabolome,16708
LP_005812,Adenosine,0.037794678,0.000473988,0.120681186,metabolome,16335
GC_084,Adenosine diphosphate,-0.061881341,0.001270649,-0.146543648,metabolome,16761
PP_049177,Adenosine triphosphate,0.045196048,0.000677809,0.088328621,metabolome,15422
PN_021874,Allantoin,-0.311728564,0.032244773,-0.698912729,metabolome,15676
GC_048,alpha-D-Glucose 1-phosphate,-0.218670364,0.015866677,-0.364325876,metabolome,29042
GC_043,alpha-Ketoglutaric acid,-0.0872241,0.002524522,-0.175899102,metabolome,30915
PN_022082,alpha-L-Fucose 1-phosphate,-0.354392017,0.041674845,-0.423919313,metabolome,6220
LN_004958,Arachidic acid (FA 20:0),-0.083464175,0.002311566,-0.124689795,metabolome,28822
PN_022178,Azelaic acid,0.072485225,0.001743432,0.274843385,metabolome,48131
PP_038617,Betaine,-0.272998222,0.024730094,-0.715376876,metabolome,17750
LP_005966,Betaine | 5-Aminopentanoic acid,0.472072988,0.073947659,0.49669568,metabolome,NA
PP_038737,Caffeine,0.188674044,0.011812191,0.306472883,metabolome,27732
LP_18428,Cer(d16:1/22:0),-0.18712652,0.011619216,-0.276671579,metabolome,17761
