#chrom	txStart	txEnd	refseq	score	strand	symbol
chr8	85744454	85745532	NR_003594	1.870	-	REXO1L2P
chr1	632324	632413	NR_106781	1.700	-	MIR6723
chr8	85736297	85737375	NR_003594	1.692	+	REXO1L2P
chr8	85661435	85662513	NR_003594	1.666	-	REXO1L2P
chr8	85654598	85655676	NR_003594	1.654	-	REXO1L2P
chr19	47950295	47950414	NR_024221	1.511	+	SNAR-C3
chr21	9781848	9821061	NR_038377	1.481	-	MGC39584
chr5	36876758	37065819	NM_015384	1.447	+	NIPBL
chr5	36876758	37065819	NM_133433	1.447	+	NIPBL
chr5	36871360	36876694	NR_046262	1.447	-	LOC646719
chr19	47955681	47955801	NR_024217	1.427	+	SNAR-C2
chr19	47955681	47955801	NR_024219	1.427	+	SNAR-C5
chr19	47955681	47955801	NR_024220	1.427	+	SNAR-C1
chr19	47944921	47945043	NR_004437	1.402	+	SNAR-A12
chr19	47944921	47945043	NR_024216	1.402	+	SNAR-A13
chr19	47939540	47939660	NR_024218	1.271	+	SNAR-C4
chr8	85762820	85763899	NR_003594	1.241	-	REXO1L2P
chr3	128619969	128650876	NM_002950	1.199	-	RPN1
chr6	7281050	7313308	NM_003144	1.195	-	SSR1
chr7	6461080	6484218	NM_001100603	1.195	-	KDELR2
chr7	6461080	6484218	NM_006854	1.195	-	KDELR2
chr4	118722822	118836171	NM_014822	1.189	-	SEC24D
chr18	112255	112339	NR_107045	1.144	-	MIR8078
chr6	157289021	157324259	NM_018452	1.142	-	TMEM242
chr2	113583652	113599036	NR_024077	1.142	+	WASH2P
chr18	109064	122221	NR_033770	1.132	+	ROCK1P1
chr2	113582958	113583096	NR_031632	1.117	-	MIR1302-3
chr22	28794559	28800572	NM_001079539	1.098	-	XBP1
chr22	28794559	28800572	NM_005080	1.098	-	XBP1
chr21	8213887	8401980	NR_003287	1.050	+	RNA28S5
chr1	50441262	50960264	NM_007051	1.047	-	FAF1
chr1	50968694	50974634	NM_001262	1.028	+	CDKN2C
chr19	47934180	47934302	NR_004435	1.025	+	SNAR-A1
chr19	47934180	47934302	NR_004436	1.025	+	SNAR-A2
chr21	8212571	8212727	NR_003285	0.996	+	RNA5-8S5
